Title;|=*?*=|ProjectId;|=*?*=|MainProjectId;|=*?*=|ShortDescription;|=*?*=|Outcome;|=*?*=|DeveloperName;|=*?*=|DemoLink;|=*?*=|GitHubLink;|=*?*=|ShowItem;|=*?*=|ShowProgressBar;|=*?*=|PriorityCalculation;|=*?*=|HasDemo;|=*?*=|PriorityNumber;|=*?*=|Impact;|=*?*=|Urgency;|=*?*=|EaseOffSuccess;|=*?*=|PersonalPreference;|=*?*=|Progress;|=*?*=|TotalHours;|=*?*=|TheoreticalHours;|=*?*=|PracticalHours;|=*?*=|GeneralHours;|=*?*=|DateCreated;|=*?*=|DateDoing;|=*?*=|DateDone;|=*?*=|ProjectStatus;|=*?*=|Challenges;|=*?*=|FutureAdditions;|=*?*=|TimeUnitsPutIn;|=*?*=|SubProjectIds
Progress/Portfolio application;|=*?*=|42fe23b1-5969-4e47-b878-450b6265bda7;|=*?*=|8283f3c2-424f-4b3c-b094-67c41d4337fa;|=*?*=|Een applicatie waar ik mijn projecten in bij kan houden en waar ik mijn uren in bij kan houden, en aan de buitenwereld real time kan laten zien wat mijn voortgang is.;|=*?*=|Een applicatie met een back en front end voor het bij houden van mijn voortgang en uren registratie, met een portfolio front end.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|155;|=*?*=|0;|=*?*=|155;|=*?*=|0;|=*?*=|04/10/2021 14:37:16;|=*?*=|05/10/2021 17:42:02;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|82fa1425-30f3-44b4-8344-61d22daf438c|=*!*=|92fb1ea2-3f52-4c85-991c-471287a596d7
Projecten;|=*?*=|8d631d32-421e-4733-980a-48e05dc1a874;|=*?*=|0320a8ab-eda2-4c07-963d-a14e21859f21;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|155;|=*?*=|0;|=*?*=|155;|=*?*=|0;|=*?*=|04/10/2021 14:36:52;|=*?*=|05/10/2021 17:42:02;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|8283f3c2-424f-4b3c-b094-67c41d4337fa
Proof it series;|=*?*=|3523d91b-2bae-4453-881e-9ca337a1cb52;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|Een serie uitdagingen om mijn kennis te testen en uit te breiden, nadat ik zelf een opdracht heb volbracht of ben vast gelopen kan ik kijken hoe Tim Corey het heeft opgelost.;|=*?*=|Het testen van mijn kennis en het uitzoeken van problemen, hierdoor meer zelf vertrouwen krijgen en mijn programmeer kennis verdiepen.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9617;|=*?*=|8;|=*?*=|6;|=*?*=|1;|=*?*=|8;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 20:12:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Solicitatie brief schrijven;|=*?*=|25ad91c1-06ba-41ef-b431-f2a3ad952965;|=*?*=|ee4dce22-b090-4c47-b4ca-3b8f215f61fe;|=*?*=|Het schrijven van sollicitatie brieven naar een organisatie die mij aanspreekt.;|=*?*=|Uitgenodigd worden voor een gesprek.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9521;|=*?*=|8;|=*?*=|6;|=*?*=|5;|=*?*=|2;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|18/10/2021 11:33:05;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Sollicitaie gesprek voeren;|=*?*=|a9552554-3762-4c7c-9cce-6929f9d9f9a5;|=*?*=|ee4dce22-b090-4c47-b4ca-3b8f215f61fe;|=*?*=|Het voeren van een gesprek met een potentiele werkgever.;|=*?*=|Het aftasten van beide kanten of er een match is.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|8951;|=*?*=|10;|=*?*=|7;|=*?*=|5;|=*?*=|3;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|18/10/2021 11:35:02;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Solliciteren;|=*?*=|ee4dce22-b090-4c47-b4ca-3b8f215f61fe;|=*?*=|0320a8ab-eda2-4c07-963d-a14e21859f21;|=*?*=|Het zoeken naar werk als software developer;|=*?*=|Een junior of hoger position bekleden;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|8401;|=*?*=|10;|=*?*=|8;|=*?*=|5;|=*?*=|4;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|18/10/2021 11:25:55;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|61f90fd0-05cb-42e6-8999-2b995a6cbf9a|=*!*=|25ad91c1-06ba-41ef-b431-f2a3ad952965|=*!*=|a9552554-3762-4c7c-9cce-6929f9d9f9a5
SQL Databases (From start to finish);|=*?*=|710984e4-0e8e-4484-ab30-f9453f415ff1;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|Een cursus om vanaf de basis te beginnen met SQL databases;|=*?*=|Het goed begrijpen en kunnen werken met SQL Databases en het vak afronden voor mijn MBO opleiding;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9665;|=*?*=|7;|=*?*=|4;|=*?*=|3;|=*?*=|4;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|19/10/2021 10:41:58;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|f91bd736-fd3f-48f9-9fff-390e7945a208
Tim Corey;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|a84d7ed0-0595-4fde-a4b7-7c4c3729ebcc;|=*?*=|Een online trainer met 30 jaar development ervaring. Hij is een zeer bekend persoon in de C# wereld en is ook al jaren Microsoft MVP, veel ICT professionals hebben van hem geleerd.;|=*?*=|Een goede basis leggen voor het programmeren met deze cursussen waar ik op kan gaan bouwen in de toekomst. ;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:44:29;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|3ffb52e6-46fe-4040-9e02-a1f51c48ccfa|=*!*=|3523d91b-2bae-4453-881e-9ca337a1cb52|=*!*=|1e490434-c318-435a-b811-f17b825aaf84|=*!*=|f3e763c0-2a6f-4994-8583-758007f395a2|=*!*=|710984e4-0e8e-4484-ab30-f9453f415ff1|=*!*=|89c13c66-cf68-4827-880a-50e001abfa6f
Vacatures zoeken;|=*?*=|61f90fd0-05cb-42e6-8999-2b995a6cbf9a;|=*?*=|ee4dce22-b090-4c47-b4ca-3b8f215f61fe;|=*?*=|Het zoeken van toepasselijke vacatures.;|=*?*=|Vacatures vinden waar die aansluiten bij mijn niveau en het bedrijf zo veel mogelijk bij mijn eigen normen en waarden.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|8951;|=*?*=|10;|=*?*=|7;|=*?*=|5;|=*?*=|3;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|18/10/2021 11:29:35;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Veilig programmeren;|=*?*=|f62d99f5-6540-49a8-90d7-328718b68d18;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06;|=*?*=|Een theorie vak over het beveiligen van applicaties, het gaat onder andere over encryptie, resilience, graceful degradation en de rollen van OWASP en SANS enz.;|=*?*=|Bekend zijn met de boven beschreven onderwerpen en meer op het gebied van programmeren.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9959;|=*?*=|7;|=*?*=|3;|=*?*=|1;|=*?*=|2;|=*?*=|50;|=*?*=|140;|=*?*=|140;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:41:07;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|50a5e570-6994-4737-9234-8819c9bac740|=*!*=|979f5423-5aec-4ccf-85f6-2f9bfbd67c5e;|=*?*=|
Visual Studio Code (VS Code);|=*?*=|b298f6e8-a417-49ad-9fa1-7186ea1714f2;|=*?*=|2a82ae6d-9160-4c1e-96b3-2cadcbab8c19;|=*?*=|Leren om met Visual Studio Code te werken.;|=*?*=|Dit zorgt er voor dat ik goed kan gaan werken in Visual Studio Code.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|7841;|=*?*=|10;|=*?*=|9;|=*?*=|6;|=*?*=|4;|=*?*=|0;|=*?*=|1;|=*?*=|0;|=*?*=|1;|=*?*=|0;|=*?*=|11/10/2021 12:57:29;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|VS Code snel toetsen|=*&*=||=*!*=|Side bar toggle - (Ctrl + B ) (Command + B)|=*!*=|Find - (Ctrl + Shift + F) (Command + Shift + F)|=*!*=|Source Control - (Ctrl + Shift + G) (Command + Shift + G)|=*!*=|Explorer  - (Ctrl + Shift + E) (Command + Shift + E)|=*!*=|Debugging - (Ctrl + Shift + D) (Command + Shift + D)|=*!*=|1 https://www.youtube.com/watch?v=WPqXP_kLzpo&t=605s|=*!*=|2 ts 10:35;|=*?*=|;|=*?*=|e8772f7a-bd27-4443-85eb-848221a886b1;|=*?*=|
Vue.js 2;|=*?*=|8a9658ea-f943-4b8f-a1ed-6670e249b9a1;|=*?*=|2a82ae6d-9160-4c1e-96b3-2cadcbab8c19;|=*?*=|Een onderdeel van het vak Web development waarin er onder andere kennis wordt gemaakt met Vue.js.;|=*?*=|Het leren werken met Vue.js en wat het is en hoe het mij kan helpen.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9977;|=*?*=|4;|=*?*=|3;|=*?*=|2;|=*?*=|1;|=*?*=|0;|=*?*=|3;|=*?*=|3;|=*?*=|0;|=*?*=|0;|=*?*=|04/10/2021 14:35:41;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|c2aa5c08-d402-4e2f-aff9-d429f50b4f49;|=*?*=|
Webdevelopment;|=*?*=|1e490434-c318-435a-b811-f17b825aaf84;|=*?*=|6cecbbc3-d1c1-43b5-ac0b-4ba4b28fc634;|=*?*=|;|=*?*=|;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|False;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|10000;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|1;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|0;|=*?*=|15/10/2021 16:45:21;|=*?*=|01/01/0001 00:00:00;|=*?*=|01/01/0001 00:00:00;|=*?*=|0;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|
Webdevelopment 1 & 2;|=*?*=|2a82ae6d-9160-4c1e-96b3-2cadcbab8c19;|=*?*=|4548ea05-efb3-46e8-a153-169d7f7fca06;|=*?*=|Een vak waarin je leert te werken met Laravel en Vue.js om een web applicatie te maken.;|=*?*=|Het behalen van de opdrachten met een ruime voldoende en een applicatie maken met kloppende documentatie.;|=*?*=|Victor Looren de Jong;|=*?*=|;|=*?*=|;|=*?*=|True;|=*?*=|False;|=*?*=|True;|=*?*=|False;|=*?*=|9875;|=*?*=|7;|=*?*=|3;|=*?*=|2;|=*?*=|3;|=*?*=|0;|=*?*=|11;|=*?*=|5;|=*?*=|6;|=*?*=|0;|=*?*=|04/10/2021 14:35:01;|=*?*=|04/10/2021 14:42:09;|=*?*=|01/01/0001 00:00:00;|=*?*=|1;|=*?*=|;|=*?*=|;|=*?*=|;|=*?*=|1f7dd766-c5f4-48c7-82b0-7483516887bc|=*!*=|8a9658ea-f943-4b8f-a1ed-6670e249b9a1|=*!*=|a2802ea2-b893-4486-8840-05e924089f46|=*!*=|b298f6e8-a417-49ad-9fa1-7186ea1714f2
