ProjectTitle;|=*?*=|TimeUnitId;|=*?*=|HoursPutIn;|=*?*=|Classification;|=*?*=|ProjectId;|=*?*=|TimeStamp;|=*?*=|
Apache http server;|=*?*=|fe724d0d-6b7e-49d9-a2c0-7df625c6dd5c;|=*?*=|4;|=*?*=|1;|=*?*=|ea1f3a03-9b33-4295-945d-a2f3354ca1e8;|=*?*=|01/11/2021 05:30:37 PM
Portfolio MVP;|=*?*=|32e243c8-68b2-45b3-80e1-3021f92c314d;|=*?*=|1;|=*?*=|2;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|01/11/2021 12:55:53 PM
Ubuntu;|=*?*=|12553d94-33bd-4946-ab4f-f0193306e570;|=*?*=|1;|=*?*=|2;|=*?*=|9975f6fd-ffcb-419f-accf-2e4065fc80c9;|=*?*=|01/11/2021 12:55:43 PM
Portfolio MVP;|=*?*=|d561b6c8-e75e-441a-8cc3-cd5b6126f83e;|=*?*=|1;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|29/10/2021 09:39:53 PM
Portfolio MVP;|=*?*=|3bede8bf-5b65-44ff-afb1-f76fbdc7c37d;|=*?*=|1;|=*?*=|2;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|29/10/2021 09:39:44 PM
Portfolio;|=*?*=|26bd2e08-fde2-4746-bc83-40013e9d40e0;|=*?*=|3;|=*?*=|2;|=*?*=|92fb1ea2-3f52-4c85-991c-471287a596d7;|=*?*=|29/10/2021 05:58:34 PM
Portfolio MVP;|=*?*=|e58e0556-cbbb-4a1d-bb68-f03de51ad191;|=*?*=|4;|=*?*=|2;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|29/10/2021 05:53:03 PM
Portfolio;|=*?*=|26e1ccc7-53fd-461c-9754-8a2598234d43;|=*?*=|2;|=*?*=|2;|=*?*=|92fb1ea2-3f52-4c85-991c-471287a596d7;|=*?*=|29/10/2021 05:00:10 PM
Portfolio MVP;|=*?*=|20140689-da31-4caa-b238-0e73c76ecef8;|=*?*=|2;|=*?*=|2;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|28/10/2021 06:06:04 PM
Portfolio;|=*?*=|55d4145b-0627-41a0-9ee7-fc9175093e3d;|=*?*=|1;|=*?*=|2;|=*?*=|92fb1ea2-3f52-4c85-991c-471287a596d7;|=*?*=|28/10/2021 12:45:59 PM
Portfolio MVP;|=*?*=|97a33d9c-779f-440f-8dc0-6f1da55ea0f3;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|28/10/2021 12:45:48 PM
Portfolio MVP;|=*?*=|81f83642-95ae-4b2c-9a05-a6a5d55e70fe;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|27/10/2021 10:06:42 PM
Portfolio MVP;|=*?*=|7322f73f-0ede-46ca-8806-761a504516b3;|=*?*=|4;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|27/10/2021 05:54:08 PM
Portfolio MVP;|=*?*=|c7fd3b0c-835b-46a5-acb6-f5d35f5abc6d;|=*?*=|1;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|27/10/2021 03:09:58 PM
Portfolio MVP;|=*?*=|9ca84961-c829-4ea8-8852-94ca42566a8a;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|26/10/2021 09:36:03 PM
Portfolio MVP;|=*?*=|9f4ea38f-d1a2-44dd-893e-83cfb96a0e1d;|=*?*=|4;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|26/10/2021 06:20:59 PM
Portfolio MVP;|=*?*=|f5ca4ef7-0b03-4fbe-84d4-21da3ace97a3;|=*?*=|1;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|26/10/2021 02:34:52 PM
Portfolio MVP;|=*?*=|fa4b9c9d-edac-4c70-9a80-12c303db6b53;|=*?*=|4;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|25/10/2021 06:57:32 PM
Portfolio MVP;|=*?*=|0ee35852-31df-47c7-b383-c7e0f98779a7;|=*?*=|1;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|25/10/2021 12:38:04 PM
Portfolio MVP;|=*?*=|108c872d-d886-479f-9496-cfde63e07b4d;|=*?*=|1;|=*?*=|2;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|25/10/2021 12:00:00 AM
Portfolio MVP;|=*?*=|a7b396bc-815a-4bf0-b809-59051b2092dc;|=*?*=|8;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|22/10/2021 10:16:52 PM
Portfolio MVP;|=*?*=|828c392c-1f57-49b4-9a2b-e0ced7a2023d;|=*?*=|2;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|21/10/2021 06:00:25 PM
Voortgangs rapportage uitbrengen;|=*?*=|937967d0-c4fe-4dc4-a391-093355c1e66f;|=*?*=|1;|=*?*=|2;|=*?*=|e272c98f-5535-4c33-838f-47808645bf47;|=*?*=|21/10/2021 12:36:18 PM
Portfolio MVP;|=*?*=|7445d336-a330-4cae-a36e-0d46a6736f68;|=*?*=|1;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|20/10/2021 08:48:21 PM
Progress Application Backend MVP;|=*?*=|7063f944-d491-4995-baf5-a8e4bbc9a39c;|=*?*=|3;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|20/10/2021 05:30:21 PM
Portfolio MVP;|=*?*=|40f3b8b4-48ac-4e8d-901e-9f6b152b98e4;|=*?*=|2;|=*?*=|2;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|20/10/2021 01:01:13 PM
Progress Application Backend MVP;|=*?*=|013aa911-9725-4892-abe5-e8f9ba328cc7;|=*?*=|2;|=*?*=|1;|=*?*=|aeef8033-dfdf-4318-9f08-bcaa82623c8b;|=*?*=|19/10/2021 08:28:45 PM
Portfolio MVP;|=*?*=|c5807d6a-e85e-4480-be01-a319152250dc;|=*?*=|3;|=*?*=|1;|=*?*=|204a99f4-e04d-436b-811f-636f80a4e201;|=*?*=|19/10/2021 06:30:09 PM
